# kd : kida_database https://kida.astrochem-tools.org/
# GE2019 : Esplugues et al. 2019 https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.1853E/abstract
# MM2022 : Minissale et al. 2022 https://ui.adsabs.harvard.edu/abs/2022ESC.....6..597M/abstract
# WV2017 : Wakelam et al. 2017   https://ui.adsabs.harvard.edu/abs/2017MolAs...6...22W/abstract
# species_name        mass     E_H2Oice(K)       E_bare(K)      ref
C                       12    1.000000e+04    1.000000e+04   # E_H2Oice : kd, E_bare = E_H2Oice  
SiCH3                   43    4.200000e+03    4.200000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
SiH4                    32    4.500000e+03    4.500000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
l-C3H2                  38    3.387000e+03    3.387000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH2OH                   31    4.400000e+03    4.400000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3O                    31    4.400000e+03    3.700000e+03   # E_H2Oice : kd, E_bare : GE2019      
HCOCO                   57    2.050000e+03    2.050000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3S                    47    4.200000e+03    4.200000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH2SH                   47    3.700000e+03    3.700000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
NC4N                    76    4.200000e+03    4.200000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
H2CSiCH                 55    4.675000e+03    4.675000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
SiC4H                   77    6.437000e+03    6.437000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3CN                   41    4.680000e+03    4.680000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C2H4                    28    2.500000e+03    2.500000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH2CCH                  39    3.300000e+03    3.300000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C4H2                    50    4.187000e+03    4.187000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C5H                     61    4.537000e+03    4.537000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C5N                     74    4.800000e+03    4.800000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C6                      72    4.800000e+03    4.800000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3OH                   32    5.000000e+03    3.700000e+03   # E_H2Oice : kd, E_bare : GE2019      
NH2CHO                  45    6.300000e+03    6.300000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
HC4N                    63    5.380000e+03    5.380000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH2NH2                  30    5.534000e+03    5.534000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3CO                   43    2.650000e+03    2.650000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C5O                     76    4.350000e+03    4.350000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
HCOCHO                  58    2.050000e+03    2.050000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3SH                   48    4.000000e+03    4.000000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3CCH                  40    3.800000e+03    3.800000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
SiC2CH3                 67    5.475000e+03    5.475000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3CHO                  44    5.400000e+03    5.400000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C2H5                    29    3.100000e+03    3.100000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH2CHCN                 53    5.480000e+03    5.480000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C5H2                    62    4.987000e+03    4.987000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C6H                     73    5.337000e+03    5.337000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C7                      84    5.600000e+03    5.600000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3NH2                  31    6.584000e+03    6.584000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
HC5N                    75    6.180000e+03    6.180000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C4H3                    51    4.637000e+03    4.637000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH2CCH2                 40    3.000000e+03    3.000000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C6N                     86    5.600000e+03    5.600000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3NCO                  57    4.700000e+03    4.700000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
NC6N                   100    5.800000e+03    5.800000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C4H4                    52    5.087000e+03    5.087000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH2CHC2H                52    5.087000e+03    5.087000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
SiC6H                  101    8.037000e+03    8.037000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C6H2                    74    5.787000e+03    5.787000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C7H                     85    6.137000e+03    6.137000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C7N                     98    6.400000e+03    6.400000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C8                      96    6.400000e+03    6.400000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3C3N                  65    6.480000e+03    6.480000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
HCOOCH3                 60    6.295000e+03    6.295000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
HC6N                    87    7.780000e+03    7.780000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C2H6                    30    1.600000e+03    1.600000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C3H5                    41    3.100000e+03    3.100000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C5H3                    63    5.437000e+03    5.437000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3OCH2                 45    3.500000e+03    3.500000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C7O                    100    5.950000e+03    5.950000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C2H3CHO                 56    5.400000e+03    5.400000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3CHCH2                42    3.100000e+03    3.100000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
SiC3H5                  69    7.437000e+03    7.437000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3CH2OH                46    5.400000e+03    5.400000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C7H2                    86    6.587000e+03    6.587000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C8H                     97    6.937000e+03    6.937000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C9                     108    7.200000e+03    7.200000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3C4H                  64    5.887000e+03    5.887000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3OCH3                 46    3.150000e+03    3.150000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
HC7N                    99    7.780000e+03    7.780000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C4H5                    53    5.537000e+03    5.537000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C6H3                    75    6.237000e+03    6.237000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C8N                    110    7.200000e+03    7.200000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C5H4                    64    5.887000e+03    5.887000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
NC8N                   124    7.400000e+03    7.400000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH2CHCHCH2              54    5.987000e+03    5.987000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
SiC8H                  125    9.637000e+03    9.637000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
HC8N                   111    9.380000e+03    9.380000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3COCH3                58    3.500000e+03    3.500000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C8H2                    98    7.387000e+03    7.387000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C9H                    109    7.737000e+03    7.737000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C10                    120    8.000000e+03    8.000000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C9N                    122    8.000000e+03    8.000000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3C5N                  89    7.880000e+03    7.880000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C3H7                    43    3.100000e+03    3.100000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C6H4                    76    6.687000e+03    6.687000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C7H3                    87    7.037000e+03    7.037000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C9O                    124    7.550000e+03    7.550000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C2H5CHO                 58    4.500000e+03    4.500000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C10H                   121    8.450000e+03    8.450000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C11                    132    9.600000e+03    9.600000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C9H2                   110    8.187000e+03    8.187000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3C6H                  88    7.487000e+03    7.487000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
HC9N                   123    9.380000e+03    9.380000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C3H8                    44    1.600000e+03    1.600000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C7H4                    88    7.487000e+03    7.487000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C8H3                    99    7.837000e+03    7.837000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C10N                   134    8.800000e+03    8.800000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
CH3C7N                 113    9.480000e+03    9.480000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C6H6                    78    7.587000e+03    7.587000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C10H2                  122    8.550000e+03    8.550000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C8H4                   100    8.287000e+03    8.287000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C9H3                   111    8.637000e+03    8.637000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
C9H4                   112    9.087000e+03    9.087000e+03   # E_H2Oice : kd, E_bare = E_H2Oice    
